36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:46:56.0 (821782)|USER_INFO|[EXTERNAL]|005f4000001pRJZ|danilofp13@curious-moose-219315.com|Hora de Argentina|GMT-03:00
14:46:56.0 (908836)|EXECUTION_STARTED
14:46:56.0 (913664)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000Gbx3Y|InstallationTests.testMaintenanceRequestBulk
14:46:56.0 (1045523)|VARIABLE_SCOPE_BEGIN|[7]|InstallationTests.CLOSED|String|false|true
14:46:56.0 (1064744)|VARIABLE_SCOPE_BEGIN|[12]|InstallationTests.CRON_EXP|String|false|true
14:46:56.0 (1075849)|VARIABLE_SCOPE_BEGIN|[5]|InstallationTests.NEW_STATUS|String|false|true
14:46:56.0 (1085993)|VARIABLE_SCOPE_BEGIN|[8]|InstallationTests.REPAIR|String|false|true
14:46:56.0 (1096803)|VARIABLE_SCOPE_BEGIN|[9]|InstallationTests.REQUEST_ORIGIN|String|false|true
14:46:56.0 (1108394)|VARIABLE_SCOPE_BEGIN|[11]|InstallationTests.REQUEST_SUBJECT|String|false|true
14:46:56.0 (1120270)|VARIABLE_SCOPE_BEGIN|[10]|InstallationTests.REQUEST_TYPE|String|false|true
14:46:56.0 (1132186)|VARIABLE_SCOPE_BEGIN|[4]|InstallationTests.STRING_TEST|String|false|true
14:46:56.0 (1143753)|VARIABLE_SCOPE_BEGIN|[6]|InstallationTests.WORKING|String|false|true
14:46:56.0 (1280733)|HEAP_ALLOCATE|[72]|Bytes:3
14:46:56.0 (1344581)|HEAP_ALLOCATE|[77]|Bytes:152
14:46:56.0 (1368989)|HEAP_ALLOCATE|[342]|Bytes:408
14:46:56.0 (1394396)|HEAP_ALLOCATE|[355]|Bytes:408
14:46:56.0 (1418712)|HEAP_ALLOCATE|[467]|Bytes:48
14:46:56.0 (1455789)|HEAP_ALLOCATE|[139]|Bytes:6
14:46:56.0 (1489671)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:15
14:46:56.0 (1526452)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:264
14:46:56.0 (1534006)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
14:46:56.0 (1582311)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.CLOSED|"Closed"
14:46:56.0 (1593926)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
14:46:56.0 (1605255)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.NEW_STATUS|"New"
14:46:56.0 (1612422)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
14:46:56.0 (1621386)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.REPAIR|"Repair"
14:46:56.0 (1629445)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:3
14:46:56.0 (1638059)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.REQUEST_ORIGIN|"Web"
14:46:56.0 (1645512)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
14:46:56.0 (1654612)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.REQUEST_SUBJECT|"AMC Spirit"
14:46:56.0 (1661220)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:19
14:46:56.0 (1670411)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.REQUEST_TYPE|"Routine Maintenance"
14:46:56.0 (1677908)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (1686877)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.STRING_TEST|"TEST"
14:46:56.0 (1694461)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:7
14:46:56.0 (1702978)|VARIABLE_ASSIGNMENT|[EXTERNAL]|InstallationTests.WORKING|"Working"
14:46:56.0 (1747040)|METHOD_ENTRY|[2]|01pf400000Gbx3Y|InstallationTests.InstallationTests()
14:46:56.0 (1757951)|STATEMENT_EXECUTE|[2]
14:46:56.0 (1764479)|STATEMENT_EXECUTE|[2]
14:46:56.0 (1766758)|STATEMENT_EXECUTE|[12]
14:46:56.0 (1771724)|HEAP_ALLOCATE|[12]|Bytes:11
14:46:56.0 (1789063)|VARIABLE_ASSIGNMENT|[12]|InstallationTests.CRON_EXP|"0 0 1 * * ?"
14:46:56.0 (1817858)|METHOD_EXIT|[2]|InstallationTests
14:46:56.0 (2079481)|HEAP_ALLOCATE|[50]|Bytes:5
14:46:56.0 (2104263)|HEAP_ALLOCATE|[56]|Bytes:5
14:46:56.0 (2112667)|HEAP_ALLOCATE|[64]|Bytes:7
14:46:56.0 (2152665)|STATEMENT_EXECUTE|[76]
14:46:56.0 (2154812)|STATEMENT_EXECUTE|[77]
14:46:56.0 (2246880)|HEAP_ALLOCATE|[77]|Bytes:4
14:46:56.0 (2370119)|VARIABLE_SCOPE_BEGIN|[77]|vehicleList|List<Vehicle__c>|true|false
14:46:56.0 (2385821)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (2400711)|VARIABLE_ASSIGNMENT|[77]|vehicleList|[]|0x2edd6efa
14:46:56.0 (2407004)|STATEMENT_EXECUTE|[78]
14:46:56.0 (2451062)|HEAP_ALLOCATE|[78]|Bytes:4
14:46:56.0 (2490431)|VARIABLE_SCOPE_BEGIN|[78]|equipmentList|List<Product2>|true|false
14:46:56.0 (2500386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (2508530)|VARIABLE_ASSIGNMENT|[78]|equipmentList|[]|0x4e92ecbb
14:46:56.0 (2514729)|STATEMENT_EXECUTE|[79]
14:46:56.0 (2546530)|HEAP_ALLOCATE|[79]|Bytes:4
14:46:56.0 (2576928)|VARIABLE_SCOPE_BEGIN|[79]|workPartList|List<Work_Part__c>|true|false
14:46:56.0 (2586969)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (2593894)|VARIABLE_ASSIGNMENT|[79]|workPartList|[]|0x4330f1ed
14:46:56.0 (2599784)|STATEMENT_EXECUTE|[80]
14:46:56.0 (2624317)|HEAP_ALLOCATE|[80]|Bytes:4
14:46:56.0 (2651369)|VARIABLE_SCOPE_BEGIN|[80]|requestList|List<Case>|true|false
14:46:56.0 (2660201)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (2666401)|VARIABLE_ASSIGNMENT|[80]|requestList|[]|0x179a3165
14:46:56.0 (2671928)|STATEMENT_EXECUTE|[81]
14:46:56.0 (2681207)|HEAP_ALLOCATE|[81]|Bytes:4
14:46:56.0 (2697027)|VARIABLE_SCOPE_BEGIN|[81]|oldRequestIds|List<Id>|true|false
14:46:56.0 (2724229)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (2733670)|VARIABLE_ASSIGNMENT|[81]|oldRequestIds|[]|0x527537d2
14:46:56.0 (2740370)|STATEMENT_EXECUTE|[83]
14:46:56.0 (2744611)|VARIABLE_SCOPE_BEGIN|[83]|i|Integer|false|false
14:46:56.0 (2753135)|HEAP_ALLOCATE|[83]|Bytes:4
14:46:56.0 (2761334)|VARIABLE_ASSIGNMENT|[83]|i|0
14:46:56.0 (2768753)|STATEMENT_EXECUTE|[83]
14:46:56.0 (2770288)|STATEMENT_EXECUTE|[84]
14:46:56.0 (2798141)|METHOD_ENTRY|[84]|01pf400000Gbx3Y|InstallationTests.createVehicle()
14:46:56.0 (2858307)|STATEMENT_EXECUTE|[134]
14:46:56.0 (2860546)|STATEMENT_EXECUTE|[135]
14:46:56.0 (2884633)|HEAP_ALLOCATE|[135]|Bytes:4
14:46:56.0 (2991827)|VARIABLE_ASSIGNMENT|[135]|this.Name|"TEST"|0x4f20c90c
14:46:56.0 (3019027)|VARIABLE_SCOPE_BEGIN|[135]|v|Vehicle__c|true|false
14:46:56.0 (3036130)|VARIABLE_ASSIGNMENT|[135]|v|{"Name":"TEST"}|0x4f20c90c
14:46:56.0 (3042049)|STATEMENT_EXECUTE|[136]
14:46:56.0 (3064819)|METHOD_EXIT|[84]|01pf400000Gbx3Y|InstallationTests.createVehicle()
14:46:56.0 (3093978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (3102444)|STATEMENT_EXECUTE|[85]
14:46:56.0 (3110089)|METHOD_ENTRY|[85]|01pf400000Gbx3Y|InstallationTests.createEquipment()
14:46:56.0 (3166813)|STATEMENT_EXECUTE|[139]
14:46:56.0 (3168884)|STATEMENT_EXECUTE|[140]
14:46:56.0 (3185652)|HEAP_ALLOCATE|[140]|Bytes:4
14:46:56.0 (3254335)|VARIABLE_ASSIGNMENT|[140]|this.Name|"TEST"|0x2638e6f2
14:46:56.0 (3293869)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3299283)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3325534)|VARIABLE_ASSIGNMENT|[140]|this.Lifespan_Months__c|10|0x2638e6f2
14:46:56.0 (3336818)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3340823)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3354485)|VARIABLE_ASSIGNMENT|[140]|this.Maintenance_Cycle__c|10|0x2638e6f2
14:46:56.0 (3369515)|VARIABLE_ASSIGNMENT|[140]|this.Replacement_Part__c|true|0x2638e6f2
14:46:56.0 (3386191)|VARIABLE_SCOPE_BEGIN|[140]|p|Product2|true|false
14:46:56.0 (3403074)|VARIABLE_ASSIGNMENT|[140]|p|{"Name":"TEST","Lifespan_Months__c":10,"Maintenance_Cycle__c":10,"Replacement_Part__c":true}|0x2638e6f2
14:46:56.0 (3409647)|STATEMENT_EXECUTE|[144]
14:46:56.0 (3415105)|METHOD_EXIT|[85]|01pf400000Gbx3Y|InstallationTests.createEquipment()
14:46:56.0 (3429138)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (3437465)|HEAP_ALLOCATE|[83]|Bytes:4
14:46:56.0 (3445349)|VARIABLE_ASSIGNMENT|[83]|i|1
14:46:56.0 (3453207)|STATEMENT_EXECUTE|[83]
14:46:56.0 (3454800)|STATEMENT_EXECUTE|[84]
14:46:56.0 (3459058)|METHOD_ENTRY|[84]|01pf400000Gbx3Y|InstallationTests.createVehicle()
14:46:56.0 (3478341)|STATEMENT_EXECUTE|[134]
14:46:56.0 (3480371)|STATEMENT_EXECUTE|[135]
14:46:56.0 (3496054)|HEAP_ALLOCATE|[135]|Bytes:4
14:46:56.0 (3518885)|VARIABLE_ASSIGNMENT|[135]|this.Name|"TEST"|0x581df58f
14:46:56.0 (3529903)|VARIABLE_SCOPE_BEGIN|[135]|v|Vehicle__c|true|false
14:46:56.0 (3543655)|VARIABLE_ASSIGNMENT|[135]|v|{"Name":"TEST"}|0x581df58f
14:46:56.0 (3549237)|STATEMENT_EXECUTE|[136]
14:46:56.0 (3553297)|METHOD_EXIT|[84]|01pf400000Gbx3Y|InstallationTests.createVehicle()
14:46:56.0 (3563711)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:46:56.0 (3569909)|STATEMENT_EXECUTE|[85]
14:46:56.0 (3573389)|METHOD_ENTRY|[85]|01pf400000Gbx3Y|InstallationTests.createEquipment()
14:46:56.0 (3584653)|STATEMENT_EXECUTE|[139]
14:46:56.0 (3586259)|STATEMENT_EXECUTE|[140]
14:46:56.0 (3596946)|HEAP_ALLOCATE|[140]|Bytes:4
14:46:56.0 (3619966)|VARIABLE_ASSIGNMENT|[140]|this.Name|"TEST"|0x173bda9e
14:46:56.0 (3631594)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3635672)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3650845)|VARIABLE_ASSIGNMENT|[140]|this.Lifespan_Months__c|10|0x173bda9e
14:46:56.0 (3659745)|HEAP_ALLOCATE|[140]|Bytes:28
14:46:56.0 (3663228)|HEAP_ALLOCATE|[140]|Bytes:28
