36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:49:43.0 (775798)|USER_INFO|[EXTERNAL]|005f4000001pRJZ|danilofp13@curious-moose-219315.com|Hora de Argentina|GMT-03:00
14:49:43.0 (891191)|EXECUTION_STARTED
14:49:43.0 (898791)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000Gbx3c|WarehouseCalloutServiceTest.testWarehouse
14:49:43.0 (1066972)|VARIABLE_SCOPE_BEGIN|[9]|WarehouseCalloutServiceTest.expectedCost|Integer|false|true
14:49:43.0 (1095478)|VARIABLE_SCOPE_BEGIN|[8]|WarehouseCalloutServiceTest.expectedLifespan|Integer|false|true
14:49:43.0 (1102959)|VARIABLE_SCOPE_BEGIN|[7]|WarehouseCalloutServiceTest.expectedMaintenanceperiod|Integer|false|true
14:49:43.0 (1122178)|VARIABLE_SCOPE_BEGIN|[5]|WarehouseCalloutServiceTest.expectedName|String|false|true
14:49:43.0 (1130484)|VARIABLE_SCOPE_BEGIN|[10]|WarehouseCalloutServiceTest.expectedQuantity|Integer|false|true
14:49:43.0 (1144933)|VARIABLE_SCOPE_BEGIN|[4]|WarehouseCalloutServiceTest.expectedReplacement|Boolean|false|true
14:49:43.0 (1159325)|VARIABLE_SCOPE_BEGIN|[6]|WarehouseCalloutServiceTest.expectedSku|String|false|true
14:49:43.0 (1338631)|HEAP_ALLOCATE|[72]|Bytes:3
14:49:43.0 (1382865)|HEAP_ALLOCATE|[77]|Bytes:152
14:49:43.0 (1408261)|HEAP_ALLOCATE|[342]|Bytes:408
14:49:43.0 (1435068)|HEAP_ALLOCATE|[355]|Bytes:408
14:49:43.0 (1458943)|HEAP_ALLOCATE|[467]|Bytes:48
14:49:43.0 (1487931)|HEAP_ALLOCATE|[139]|Bytes:6
14:49:43.0 (1505082)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:35
14:49:43.0 (1513183)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:17
14:49:43.0 (1552172)|VARIABLE_ASSIGNMENT|[EXTERNAL]|WarehouseCalloutServiceTest.expectedName|"Generator 1000 kW"
14:49:43.0 (1560174)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
14:49:43.0 (1567878)|VARIABLE_ASSIGNMENT|[EXTERNAL]|WarehouseCalloutServiceTest.expectedSku|"100003"
14:49:43.0 (1616101)|METHOD_ENTRY|[2]|01pf400000Gbx3c|WarehouseCalloutServiceTest.WarehouseCalloutServiceTest()
14:49:43.0 (1627211)|STATEMENT_EXECUTE|[2]
14:49:43.0 (1633090)|STATEMENT_EXECUTE|[2]
14:49:43.0 (1635346)|STATEMENT_EXECUTE|[4]
14:49:43.0 (1676013)|HEAP_ALLOCATE|[50]|Bytes:5
14:49:43.0 (1707459)|HEAP_ALLOCATE|[56]|Bytes:5
14:49:43.0 (1721215)|HEAP_ALLOCATE|[64]|Bytes:7
14:49:43.0 (1747196)|HEAP_ALLOCATE|[4]|Bytes:5
14:49:43.0 (1761654)|VARIABLE_ASSIGNMENT|[4]|WarehouseCalloutServiceTest.expectedReplacement|true
14:49:43.0 (1769626)|STATEMENT_EXECUTE|[7]
14:49:43.0 (1775993)|HEAP_ALLOCATE|[7]|Bytes:4
14:49:43.0 (1787031)|VARIABLE_ASSIGNMENT|[7]|WarehouseCalloutServiceTest.expectedMaintenanceperiod|365
14:49:43.0 (1794483)|STATEMENT_EXECUTE|[8]
14:49:43.0 (1798295)|HEAP_ALLOCATE|[8]|Bytes:4
14:49:43.0 (1806919)|VARIABLE_ASSIGNMENT|[8]|WarehouseCalloutServiceTest.expectedLifespan|120
14:49:43.0 (1814591)|STATEMENT_EXECUTE|[9]
14:49:43.0 (1817965)|HEAP_ALLOCATE|[9]|Bytes:4
14:49:43.0 (1827307)|VARIABLE_ASSIGNMENT|[9]|WarehouseCalloutServiceTest.expectedCost|5000
14:49:43.0 (1833578)|STATEMENT_EXECUTE|[10]
14:49:43.0 (1837409)|HEAP_ALLOCATE|[10]|Bytes:4
14:49:43.0 (1846570)|VARIABLE_ASSIGNMENT|[10]|WarehouseCalloutServiceTest.expectedQuantity|5
14:49:43.0 (1859058)|METHOD_EXIT|[2]|WarehouseCalloutServiceTest
14:49:43.0 (2022982)|STATEMENT_EXECUTE|[12]
14:49:43.0 (2027127)|STATEMENT_EXECUTE|[13]
14:49:43.0 (2031446)|HEAP_ALLOCATE|[13]|Bytes:22
14:49:43.0 (2143290)|HEAP_ALLOCATE|[13]|Bytes:27
14:49:43.0 (2157752)|SYSTEM_METHOD_ENTRY|[1]|Type.Type()
14:49:43.0 (2163635)|STATEMENT_EXECUTE|[1]
14:49:43.0 (2173186)|SYSTEM_METHOD_EXIT|[1]|Type
