36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:47:27.1 (1387507)|USER_INFO|[EXTERNAL]|005f4000001pRJZ|danilofp13@curious-moose-219315.com|Hora de Argentina|GMT-03:00
14:47:27.1 (1411456)|EXECUTION_STARTED
14:47:27.1 (1416673)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
14:47:27.1 (4172841)|DML_BEGIN|[2]|Op:Insert|Type:Vehicle__c|Rows:1
14:47:27.1 (29815500)|DML_END|[2]
14:47:27.1 (30516542)|DML_BEGIN|[13]|Op:Insert|Type:Product2|Rows:1
14:47:27.1 (44196996)|DML_END|[13]
*** Skipped 199946 bytes of detailed log
14:47:27.1 (78222214)|VARIABLE_SCOPE_BEGIN|[18]|c|Case|true|false
14:47:27.1 (78233440)|VARIABLE_ASSIGNMENT|[18]|c|{}|0x34812b1d
14:47:27.1 (78238642)|STATEMENT_EXECUTE|[19]
14:47:27.1 (78261068)|VARIABLE_ASSIGNMENT|[19]|this.Subject|"1984 AMC Spirit Coup (1 more) ..."|0x34812b1d
14:47:27.1 (78267033)|STATEMENT_EXECUTE|[20]
14:47:27.1 (78287368)|VARIABLE_ASSIGNMENT|[20]|this.Vehicle__c|"a00f4000009dfhfAAA"|0x34812b1d
14:47:27.1 (78293605)|STATEMENT_EXECUTE|[21]
14:47:27.1 (78306663)|VARIABLE_ASSIGNMENT|[21]|this.Status|"New"|0x34812b1d
14:47:27.1 (78312231)|STATEMENT_EXECUTE|[22]
14:47:27.1 (78325439)|VARIABLE_ASSIGNMENT|[22]|this.Type|"Routine Maintenance"|0x34812b1d
14:47:27.1 (78330945)|STATEMENT_EXECUTE|[23]
14:47:27.1 (78349472)|VARIABLE_ASSIGNMENT|[23]|this.Equipment__c|"01tf4000000gN1AAAU"|0x34812b1d
14:47:27.1 (78355480)|STATEMENT_EXECUTE|[24]
